name
angel zerpa
tyler zuber
jake brentz
edward olivares
adalberto mondesi
ryan weiss
gabe speier
anthony misiewicz
jackson kowar
collin snider
jonathan bowlan
nate webb
carlos hernandez
maikel garcia
bryan shaw
nick sandlin
enyel de los santos
emmanuel clase
eli morgan
jake jewell
sam hentges
cal quantrill
shane bieber
james karinchak
trevor stephan
triston mckenzie
zach plesac
josh naylor
luke maile
amed rosario
myles straw
nolan jones
oscar gonzalez
owen miller
steven kwan
tyler freeman
will benson
jose ramirez
andres gimenez
austin hedges
aaron civale
cody morris
anthony gose
hunter gaddis
carlos vargas
konnor pilkington
anthony castro
kirk mccarty
jhonkensy noel
george valera
gabriel arias
ernie clement
richie palacios
bryan lavastida
brayan rocchio
jose tena
jorge lopez
tyler mahle
michael fulmer
trevor megill
caleb thielbar
chris archer
joe ryan
griffin jax
cole sands
sonny gray
jhoan duran
emilio pagan
dylan bundy
gio urshela
jose miranda
jake cave
jorge polanco
nick gordon
gilberto celestino
gary sanchez
sandy leon
tim beckham
max kepler
carlos correa
byron buxton
luis arraez
kyle garlick
ryan jeffers
trevor larnach
alex kirilloff
randy dobnak
bailey ober
chris paddack
cody stashak
jorge alcala
danny coulombe
jhon romero
kenta maeda
miguel sano
royce lewis
ronny henriquez
blayne enlow
devin smeltzer
drew strotman
jordan balazovic
josh winder
jovani moran
mark contreras
caleb hamilton
matt manning
jason foley
gregory soto
garrett hill
joe jimenez
tyler alexander
drew hutchison
jose cisnero
will vest
luis castillo
andrew chafin
wily peralta
alex lange
kody clemens
jonathan schoop
tucker barnhart
riley greene
jeimer candelario
javier baez
miguel cabrera
harold castro
eric haase
daz cameron
victor reyes
willi castro
akil baddoo
austin meadows
rony garcia
tarik skubal
beau brieske
michael pineda
spencer turnbull
kyle funkhouser
casey mize
jake rogers
alex faedo
joey wentz
elvin rodriguez
bryan garcia
angel de jesus
spencer torkelson
brendon davis
ali sanchez
zack short
adam oller
kirby snead
aj puk
james kaprielian
paul blackburn
domingo tapia
domingo acevedo
sam moll
sam selman
dany jimenez
cole irvin
austin pruitt
zach jackson
skye bolt
seth brown
sean murphy
stephen piscotty
stephen vogt
tony kemp
ramon laureano
vimael machin
nick allen
jed lowrie
jonah bride
chad pinder
elvis andrus
brent honeywell jr
daulton jefferies
deolis guerra
david mckay
zach logue
adrian martinez
jp sears
jared koenig
luis medina
dermis garcia
jordan diaz
david mackinnon
sheldon neuse
cristian pache
cody thomas
luis barrera
kevin smith
framber valdez
jose urquidy
justin verlander
luis garcia
phil maton
rafael montero
hector neris
ryan pressly
ryne stanek
cristian javier
seth martinez
bryan abreu
will smith
alex bregman
trey mancini
mauricio dubon
martin maldonado
kyle tucker
yordan alvarez
yuli gurriel
jake meyers
aledmys diaz
chas mccormick
christian vazquez
jeremy pena
jose altuve
michael brantley
lance mccullers jr
blake taylor
josh james
jason castro
parker mushinski
peter solomon
ronel blanco
forrest whitley
enoli paredes
jonathan bermudez
shawn dubin
brandon bielak
niko goodrum
jj matijevic
taylor jones
korey lee
joe perez
mike mayers
jose quijada
aaron loup
jose suarez
jimmy herget
jesse chavez
jaime barria
patrick sandoval
reid detmers
ryan tepera
touki toussaint
andrew wantz
tucker davidson
phil gosselin
jose rojas
max stassi
shohei ohtani
magneuris sierra
luis rengifo
steven duggar
kurt suzuki
taylor ward
jo adell
andrew velazquez
david fletcher
jared walsh
mickey moniak
mike trout
griffin canning
michael lorenzen
archie bradley
chris rodriguez
matt duffy
anthony rendon
jose marte
jhonathan diaz
austin warren
chase silseth
kenny rosenberg
davis daniel
elvis peguero
janson junk
chad wallach
michael stefanic
matt thaiss
andres munoz
brennan bernardino
robbie ray
penn murfee
paul sewald
chris flexen
george kirby
matthew festa
matt brash
marco gonzales
logan gilbert
erik swanson
luis castillo
jesse winker
adam frazier
kyle lewis
luis torrens
mitch haniger
sam haggerty
ty france
eugenio suarez
carlos santana
cal raleigh
jarred kelenic
jp crawford
jake lamb
taylor trammell
dylan moore
julio rodriguez
curt casali
ken giles
ryan borucki
diego castillo
casey sadler
evan white
tom murphy
matthew boyd
phillips valdez
justus sheffield
juan then
derek hill
drew ellis
alberto rodriguez
abraham toro
taylor hearn
jonathan hernandez
jose leclerc
glenn otto
garrett richards
josh sborz
dane dunning
martin perez
cole ragans
matt moore
brock burke
brett martin
spencer howard
meibrys viloria
marcus semien
leody taveras
josh smith
nathaniel lowe
adolis garcia
jonah heim
ezequiel duran
elier hernandez
corey seager
charlie culberson
bubba thompson
brad miller
kole calhoun
jon gray
joe barlow
dennis santana
eli white
mitch garver
yerry rodriguez
aj alexy
ricky vanasco
nicklaus snyder
kolby allard
john king
nick solak
mark mathias
sam huff
andy ibanez
aj minter
huascar ynoa
jackson stephens
spencer strider
jake odorizzi
raisel iglesias
dylan lee
max fried
kenley jansen
collin mchugh
charlie morton
tyler matzek
kyle wright
ehire adrianza
orlando arcia
matt olson
marcell ozuna
robbie grossman
ronald acuna jr
eddie rosario
dansby swanson
travis darnaud
chadwick tromp
austin riley
william contreras
michael harris
mike ford
manny pina
adam duvall
darren oday
mike soroka
kirby yates
luke jackson
ozzie albies
kyle muller
jay jackson
ian anderson
freddy tarnok
danny young
brooks wilson
alan rangel
william woods
guillermo heredia
travis demeritte
adonis medina
adam ottavino
joely rodriguez
max scherzer
mychal givens
jacob degrom
edwin diaz
seth lugo
taijuan walker
trevor may
trevor williams
chris bassitt
carlos carrasco
starling marte
tomas nido
pete alonso
tyler naquin
mark canha
luis guillorme
brandon nimmo
jeff mcneil
daniel vogelbach
james mccann
darin ruf
francisco lindor
eduardo escobar
dominic smith
tommy hunter
drew smith
tylor megill
john curtiss
joey lucchesi
sean reidfoley
sam clay
david peterson
stephen nogosek
jose butto
ronny mauricio
patrick mazeika
nick plummer
michael perez
mark vientos
khalil lee
zack wheeler
aaron nola
jose alvarado
kyle gibson
david robertson
corey knebel
connor brogdon
nick nelson
noah syndergaard
ranger suarez
brad hand
seranthony dominguez
andrew bellatti
nick maton
nick castellanos
matt vierling
rhys hoskins
kyle schwarber
jean segura
jt realmuto
alec bohm
garrett stubbs
brandon marsh
edmundo sosa
bryson stott
darick hall
bryce harper
zach eflin
damon jones
sam coonrod
hans crouse
james mcarthur
mark appel
cristopher sanchez
kent emanuel
francisco morales
bailey falter
andrew vasquez
luis garcia
donny sands
rafael marchan
johan camargo
simon muzziotti
yairo munoz
jhailyn ortiz
richard bleier
jeff brigham
pablo lopez
jesus luzardo
huascar brazoban
elieser hernandez
edward cabrera
dylan floro
sandy alcantara
steven okert
tanner scott
braxton garrett
anthony bender
lewin diaz
joey wendle
miguel rojas
nick fortes
jesus aguilar
luke williams
peyton burdick
jacob stallings
jj bleday
garrett cooper
charles leblanc
bryan de la cruz
billy hamilton
avisail garcia
jorge soler
brian anderson
jon berti
trevor rogers
tommy nance
cole sulser
paul campbell
sean guenther
cody poteet
max meyer
jordan holloway
jazz chisholm jr
daniel castano
nick neidert
sixto sanchez
jerar encarnacion
payton henry
jesus sanchez
jose devers
andres machado
victor arano
steve cishek
patrick corbin
paolo espino
mason thompson
kyle finnegan
josiah gray
hunter harvey
erasmo ramirez
anibal sanchez
carl edwards jr
cory abbott
josh palacios
cesar hernandez
maikel franco
luke voit
luis garcia
nelson cruz
lane thomas
keibert ruiz
tres barrera
joey meneses
victor robles
ildemaro vargas
yadiel hernandez
tyler clippard
erick fedde
stephen strasburg
sean doolittle
seth romero
tanner rainey
joe ross
jackson tetreault
will harris
evan lee
carter kieboom
mackenzie gore
jordan weems
joan adon
gerardo carrillo
francisco perez
riley adams
lucius fox
donovan casey
alex call
yasel antuna
adam wainwright
jordan hicks
jordan montgomery
jose quintana
miles mikolas
giovanny gallegos
genesis cabrera
packy naughton
dakota hudson
ryan helsley
tj mcfarland
chris stratton
andre pallante
paul goldschmidt
paul dejong
tommy edman
nolan gorman
nolan arenado
tyler oneill
lars nootbaar
yadier molina
albert pujols
andrew knizner
brendan donovan
corey dickerson
dylan carlson
juan yepez
steven matz
alex reyes
jack flaherty
drew verhagen
freddy pacheco
zack thompson
jojo romero
jake walsh
matthew liberatore
jake woodford
kodi whitley
junior fernandez
james naile
ivan herrera
conner capel
colin holderman
jt brubaker
manny banuelos
mitch keller
eric stout
duane underwood jr
chase de jong
tyler beede
wil crowe
bryse wilson
yerry de los santos
yohan ramirez
zach thompson
josh vanmeter
kebryan hayes
ben gamel
kevin newman
michael chavis
oneil cruz
rodolfo castro
tucupita marcano
jose godoy
jason delay
bligh madris
bryan reynolds
greg allen
tyler heineman
david bednar
dillon peters
blake cederlind
nick mears
max kranick
roberto perez
canaan smithnjigba
miguel yajure
roansy contreras
johan oviedo
hoy park
diego castillo
travis swaggerty
jack suwinski
calvin mitchell
liover peguero
kevin padlo
corbin burnes
matt bush
hoby milner
freddy peralta
taylor rogers
eric lauer
devin williams
trevor gott
brent suter
brandon woodruff
brad boxberger
jason alexander
aaron ashby
keston hiura
kolten wong
luis urias
jonathan davis
mario feliciano
mike brosseau
rowdy tellez
tyrone taylor
victor caratini
willy adames
andrew mccutchen
christian yelich
hunter renfroe
omar narvaez
jace peterson
jandel gustave
adrian houser
miguel sanchez
jake cousins
justin topa
peter strzelecki
ethan small
trevor kelley
trevor rosenthal
luis perdomo
pablo reyes
esteury ruiz
jakson reetz
alex jackson
adrian sampson
sean newcomb
rowan wick
michael rucker
mark leiter jr
marcus stroman
kervin castro
keegan thompson
justin steele
erich uelmen
drew smyly
brandon hughes
anderson espinoza
seiya suzuki
nelson velazquez
nick madrigal
nico hoerner
pj higgins
patrick wisdom
rafael ortega
ian happ
franmil reyes
willson contreras
yan gomes
zach mckinstry
christopher morel
steven brault
jason heyward
kyle hendricks
alec mills
wade miley
codi heuer
adbert alzolay
manuel rodriguez
brad wieck
ethan roberts
michael hermosillo
matt dermody
alexander vizcaino
brailyn marquez
caleb kilian
narciso crook
miguel amaya
alexander canario
alfonso rivas
frank schwindel
david bote
ryan hendrix
joel kuhnel
ian gibaut
hunter strickland
justin dunn
graham ashcraft
luis cessa
buck farmer
mike minor
nick lodolo
reiver sanmartin
ross detwiler
alexis diaz
michael papierski
matt reynolds
kyle farmer
nick senzel
jose barrero
jonathan india
joey votto
alejo lopez
jake fraley
donovan solano
albert almora
aristides aquino
austin romine
aramis garcia
mike moustakas
jeff hoffman
hunter greene
robert dugger
art warren
vladimir gutierrez
tony santillan
tejay antone
connor overton
daniel duarte
lucas sims
justin wilson
tyler stephenson
dauri moreta
jared solomon
max schrock
mark kolozsvary
ronnie dawson
allan cerda
stuart fairchild
tj friedl
edwin uceta
joe mantiply
kevin ginkel
ian kennedy
madison bumgarner
mark melancon
merrill kelly
noe ramirez
tommy henry
chris devenski
tyler holton
zac gallen
zach davies
sergio alcantara
ketel marte
seth beer
alek thomas
josh rojas
jordan luplow
carson kelly
christian walker
cooper hummel
daulton varsho
emmanuel rivera
geraldo perdomo
jake mccarthy
kyle nelson
keynan middleton
caleb smith
humberto castellanos
tyler gilbert
nick ahmed
luis frias
jb bukauskas
paul fry
sean poppen
corbin martin
taylor widener
yonny hernandez
buddy kennedy
pavin smith
jake hager
jose herrera
tyler anderson
evan phillips
phil bickford
reyes moronta
tony gonsolin
david price
craig kimbrel
chris martin
caleb ferguson
alex vesia
julio urias
andrew heaney
andre jackson
max muncy
joey gallo
hanser alberto
gavin lux
freddie freeman
justin turner
mookie betts
trayce thompson
trea turner
cody bellinger
chris taylor
will smith
austin barnes
yency almonte
brusdar graterol
clayton kershaw
victor gonzalez
danny duffy
dustin may
tommy kahnle
daniel hudson
jimmy nelson
walker buehler
blake treinen
edwin rios
kevin pillar
michael grove
ryan pepiot
jake reed
justin bruihl
eddy alvarez
rylan bannon
eddys leonard
miguel vargas
jacob amaya
james outman
jorbit vivas
alex wood
john brebbia
logan webb
jarlin garcia
jakob junis
dominic leone
tyler rogers
carlos rodon
camilo doval
alex young
alex cobb
yunior marte
luis gonzalez
lamonte wade jr
joey bart
joc pederson
austin slater
jd davis
mike yastrzemski
thairo estrada
evan longoria
tommy la stella
austin wynns
brandon belt
wilmer flores
brandon crawford
zack littell
anthony desclafani
mauricio llovera
sam delaplane
jose alvarez
colton welker
gregory santos
randy rodriguez
sam long
sean hjelle
thomas szapucki
steele walker
bryce johnson
yermin mercedes
david villar
donovan walton
ford proctor
heliot ramos
jason vosler
alex colome
german marquez
jake bird
jose urena
dinelson lamet
daniel bard
kyle freeland
lucas gilbreath
robert stephenson
carlos estevez
ryan feltner
austin gomber
antonio senzatela
randal grichuk
ryan mcmahon
sam hilliard
jose iglesias
yonathan daza
garrett hampson
brendan rodgers
brian serven
cj cron
charlie blackmon
connor joe
elehuris montero
elias diaz
kris bryant
jhoulys chacin
tyler kinley
helcris olivarez
ryan rolison
scott oberg
chad kuhl
justin lawrence
jordan sheffield
noah davis
peter lambert
chad smith
ty blach
alan trejo
sean bouchard
ryan vilade
dom nunez
ezequiel tovar
robert suarez
mike clevinger
nabil crismatt
nick martinez
luis garcia
josh hader
joe musgrove
sean manaea
tayler scott
yu darvish
adrian morejon
blake snell
tim hill
jake cronenworth
wil myers
jorge alfaro
josh bell
haseong kim
juan soto
jurickson profar
nomar mazara
brandon drury
manny machado
matthew batten
austin nola
trent grisham
craig stammen
austin adams
pierce johnson
drew pomeranz
matt beaty
fernando tatis jr
michel baez
ray kerr
reiss knehr
jay groome
ryan weathers
steven wilson
efrain contreras
luis campusano
jose azocar
eguy rosario
cam gallagher
brett sullivan
